日期,一日三餐
2022-01-01,"火腿,鱼,鸡肉"
2022-01-02,"苹果,马铃薯,苹果"
2022-01-03,"鸡肉,马铃薯,米饭"
2022-01-04,"鱼,牛排,火腿"
2022-01-05,"鸡肉,米饭,鱼"
2022-01-06,"鸡肉,芒果,马铃薯"
2022-01-07,"鸡肉,面包,牛排"
2022-01-08,"鱼,苹果,苹果"
2022-01-09,"牛排,面包,苹果"
2022-01-10,"米饭,马铃薯,鸡肉"
2022-01-11,"火腿,苹果,米饭"
2022-01-12,"面包,面包,苹果"
2022-01-13,"苹果,鸡肉,牛排"
2022-01-14,"芒果,芒果,芒果"
2022-01-15,"火腿,鸡肉,鸡肉"
2022-01-16,"火腿,鸡肉,面包"
2022-01-17,"面包,鱼,芒果"
2022-01-18,"鱼,牛排,牛排"
2022-01-19,"苹果,面包,米饭"
2022-01-20,"马铃薯,牛排,面包"
2022-01-21,"鸡肉,鸡肉,苹果"
2022-01-22,"芒果,火腿,马铃薯"
2022-01-23,"马铃薯,鸡肉,鸡肉"
2022-01-24,"鱼,苹果,鱼"
2022-01-25,"马铃薯,苹果,鱼"
2022-01-26,"芒果,鱼,苹果"
2022-01-27,"苹果,芒果,面包"
2022-01-28,"火腿,面包,鱼"
2022-01-29,"鸡肉,鱼,米饭"
2022-01-30,"牛排,鱼,芒果"
2022-01-31,"苹果,米饭,鸡肉"
2022-02-01,"鱼,鸡肉,鸡肉"
2022-02-02,"牛排,面包,芒果"
2022-02-03,"鸡肉,火腿,鱼"
2022-02-04,"火腿,米饭,苹果"
2022-02-05,"鸡肉,马铃薯,米饭"
2022-02-06,"鱼,马铃薯,火腿"
2022-02-07,"米饭,鸡肉,火腿"
2022-02-08,"牛排,马铃薯,芒果"
2022-02-09,"牛排,火腿,牛排"
2022-02-10,"苹果,鸡肉,芒果"
2022-02-11,"米饭,火腿,马铃薯"
2022-02-12,"苹果,马铃薯,马铃薯"
2022-02-13,"牛排,马铃薯,米饭"
2022-02-14,"米饭,苹果,米饭"
2022-02-15,"苹果,牛排,面包"
2022-02-16,"马铃薯,米饭,苹果"
2022-02-17,"面包,苹果,马铃薯"
2022-02-18,"牛排,苹果,面包"
2022-02-19,"牛排,鱼,火腿"
2022-02-20,"苹果,鸡肉,鱼"
2022-02-21,"火腿,芒果,面包"
2022-02-22,"米饭,面包,芒果"
2022-02-23,"米饭,牛排,鸡肉"
2022-02-24,"牛排,米饭,马铃薯"
2022-02-25,"面包,芒果,芒果"
2022-02-26,"芒果,苹果,鱼"
2022-02-27,"鸡肉,鸡肉,牛排"
2022-02-28,"芒果,鸡肉,牛排"
2022-03-01,"马铃薯,牛排,芒果"
2022-03-02,"芒果,米饭,火腿"
2022-03-03,"牛排,米饭,苹果"
2022-03-04,"米饭,米饭,马铃薯"
2022-03-05,"马铃薯,鸡肉,马铃薯"
2022-03-06,"牛排,苹果,鱼"
2022-03-07,"鱼,火腿,鱼"
2022-03-08,"牛排,牛排,鱼"
2022-03-09,"芒果,马铃薯,鱼"
2022-03-10,"米饭,火腿,芒果"
2022-03-11,"鸡肉,鸡肉,鸡肉"
2022-03-12,"马铃薯,鸡肉,鸡肉"
2022-03-13,"面包,火腿,面包"
2022-03-14,"鸡肉,苹果,牛排"
2022-03-15,"鱼,鸡肉,鱼"
2022-03-16,"芒果,鸡肉,牛排"
2022-03-17,"面包,芒果,鸡肉"
2022-03-18,"芒果,火腿,芒果"
2022-03-19,"牛排,芒果,面包"
2022-03-20,"苹果,芒果,面包"
2022-03-21,"苹果,鸡肉,牛排"
2022-03-22,"牛排,芒果,鱼"
2022-03-23,"苹果,马铃薯,芒果"
2022-03-24,"鱼,火腿,火腿"
2022-03-25,"牛排,马铃薯,鸡肉"
2022-03-26,"鸡肉,芒果,芒果"
2022-03-27,"鱼,面包,火腿"
2022-03-28,"苹果,米饭,米饭"
2022-03-29,"鱼,面包,鸡肉"
2022-03-30,"火腿,面包,面包"
2022-03-31,"鸡肉,马铃薯,面包"
2022-04-01,"牛排,鱼,牛排"
2022-04-02,"面包,芒果,鱼"
2022-04-03,"芒果,马铃薯,面包"
2022-04-04,"米饭,面包,鱼"
2022-04-05,"鸡肉,火腿,鱼"
2022-04-06,"米饭,苹果,火腿"
2022-04-07,"火腿,芒果,马铃薯"
2022-04-08,"鸡肉,面包,米饭"
2022-04-09,"面包,米饭,米饭"
2022-04-10,"牛排,牛排,面包"
